State,Solution
"[9, 9, 5, 4, 0, 2, 2, 11, 6, 7, 10, 3, 8, 4, 10, 6, 3, 10]",p011100 r+11000 r-30111 p001100 r+51100 r+30011 p000100 r-10001 r+31110 p010100 r+50101 r+61010 p010000 r-30100 r-71011 p110000 r-51100 r+20011 p110100 r+41101 r+60010
"[11, 8, 9, 3, 1, 4, 3, 6, 2, 3, 3, 1, 3, 8, 4, 10, 5, 9]",p011100 r+31000 r-50111 p001100 r+11100 r-20011 p000100 r+50001 r+11110 p010100 r+60101 r+61010 p010000 r-50100 r-81011 p110000 r-51100 r+00011 p110100 r+51101 r+50010
"[7, 7, 3, 8, 9, 1, 8, 8, 0, 9, 7, 5, 8, 2, 1, 0, 6, 4]",p011100 r-41000 r-20111 p001100 r+51100 r+50011 p000100 r-10001 r-41110 p010100 r+20101 r-31010 p010000 r-20100 r+21011 p110000 r-10100 r-10011 p110100 r+01101 r-50010
"[4, 10, 0, 5, 5, 1, 2, 9, 1, 0, 0, 8, 10, 4, 8, 11, 9, 10]",p011100 r-51000 r-20111 p001100 r+11100 r+40011 p000100 r+40001 r-11110 p010100 r+60101 r+41010 p010000 r+50100 r-11011 p110000 r-51100 r+20011 p110100 r-51101 r+40010
"[6, 4, 7, 8, 7, 0, 5, 7, 3, 5, 10, 6, 2, 8, 9, 9, 7, 7]",p011100 r+11000 r+50111 p001100 r-21100 r+50011 p000100 r+00001 r-11110 p010100 r-50101 r-21010 p010000 r-30100 r+61011 p110000 r-81100 r-40011 p110100 r-11101 r-20010
"[3, 9, 7, 8, 1, 3, 0, 11, 11, 5, 0, 9, 6, 3, 1, 1, 10, 0]",p011100 r+51000 r-50111 p001100 r-31100 r+40011 p000100 r-20001 r-51110 p010100 r-50101 r-21010 p010000 r-40100 r-11011 p110000 r-11100 r-60011 p110100 r+01101 r+30010
"[11, 8, 4, 7, 1, 10, 4, 4, 0, 8, 0, 1, 6, 7, 1, 0, 6, 8]",p011100 r+11000 r+10111 p001100 r+51100 r+60011 p000100 r+30001 r+51110 p010100 r+40101 r+51010 p010000 r-50100 r+21011 p110000 r-11100 r+60011 p110100 r+31101 r-50010
"[9, 1, 7, 9, 2, 11, 1, 4, 2, 5, 6, 3, 2, 3, 6, 10, 9, 11]",p011100 r+61000 r-20111 p001100 r+31100 r-50011 p000100 r+20001 r+61110 p010100 r+10101 r+31010 p010000 r-10100 r-41011 p110000 r-41100 r+40011 p110100 r-51101 r-30010
"[5, 0, 5, 4, 10, 8, 11, 6, 5, 7, 4, 7, 11, 1, 9, 7, 9, 1]",p011100 r+41000 r+20111 p001100 r+01100 r+20011 p000100 r-40001 r+31110 p010100 r+40101 r-21010 p010000 r+20100 r-61011 p110000 r+41100 r+50011 p110100 r+41101 r-30010
"[5, 10, 11, 11, 7, 7, 2, 7, 0, 1, 10, 7, 9, 4, 2, 0, 7, 10]",p011100 r-31000 r-40111 p001100 r+51100 r+00011 p000100 r+00001 r+21110 p010100 r+20101 r+01010 p010000 r+30100 r+51011 p110000 r+11100 r+10011 p110100 r+31101 r+60010
